time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,0.404749755,6.34637821,-2.2528186,-0.404749755,-6.98101603,41.7649661,868.044642,0.897541771
0.5,0.252975293,179.899631,8.56894472,4.66998353,-1.94794639,-8.56894472,-5.13698188,58.1544709,827.893425,0.897541771
1,0.408183062,235.45452,5.02703297,1.45667383,-1.60341961,-5.02703297,-1.60234122,75.3622822,809.128744,0.897541771
1.5,0.568952097,317.549883,1.33095306,-0.955752088,-1.22625183,-1.33095306,1.0513273,93.2187094,819.388155,0.897541771
2,0.735457166,427.04721,1.10844796,-1.56671815,-0.824121102,-1.10844796,1.72338997,111.03187,771.17518,0.897541771
2.5,0.90693784,564.77203,-0.249773656,-0.741015203,-0.405213643,0.249773656,0.815116723,130.496368,771.692509,0.897541771
3,1.08012223,731.086781,-2.70384122,0.387725849,0.0219427969,2.70384122,-0.426498434,149.465902,914.222257,0.897541771
3.5,1.25686107,925.827899,-3.02949416,0.861516213,0.448652545,3.02949416,-0.947667834,168.806338,770.357686,0.897541771
4,1.44573347,1149.87213,-2.49273623,0.497074207,0.866229021,2.49273623,-0.546781628,189.131291,795.309106,0.897541771
4.5,1.64627025,1404.83907,-2.8128548,-0.176902981,1.26617157,2.8128548,0.194593279,211.376055,823.399178,0.897541771
5,1.85618653,1691.66087,-2.48503936,-0.528160181,1.64033852,2.48503936,0.580976199,234.396908,864.052606,0.897541771
5.5,2.07621467,2011.20958,-1.35413541,-0.351874248,1.98111291,1.35413541,0.387061673,258.407334,799.858805,0.897541771
6,2.307526,2364.9107,-0.97033414,0.0740007842,2.28155755,0.97033414,-0.0814008626,283.805547,771.845895,0.897541771
6.5,2.55146466,2754.16587,-0.94650127,0.334109626,2.53555626,0.94650127,-0.367520588,310.699115,834.676361,0.897541771
7,2.80978408,3180.3487,-0.488868894,0.251649181,2.73793836,0.488868894,-0.276814099,339.145048,751.360475,0.897541771
7.5,3.08459842,3645.45939,-0.336806998,-0.0214261565,2.88458392,0.336806998,0.0235687721,369.890709,837.632331,0.897541771
8,3.37843441,4151.52446,-0.635428898,-0.209825221,2.97250768,0.635428898,0.230807743,401.557654,777.155361,0.897541771
8.5,3.69442235,4700.15431,-0.645304951,-0.176183727,2.99991975,0.645304951,0.1938021,436.284797,766.670671,0.897541771
9,4.03649756,5293.56744,-0.533677784,-0.00398400983,2.96626211,0.533677784,0.00438241081,473.892992,772.835819,0.897541771
9.5,4.40796468,5934.60988,-0.671438635,0.127163212,2.87221992,0.671438635,-0.139879533,514.406123,821.336686,0.897541771
10,4.37185279,6593.29797,-0.748740119,0.130399232,2.71970762,0.748740119,-0.143439155,510.517443,875.780182,0.897541771
10.5,4.33792149,7238.06271,-0.649930694,0.0168002795,2.51182992,0.649930694,-0.0184803075,507.195761,864.533585,0.897541771
11,4.30850648,7870.19236,-0.683416072,-0.0999782366,2.2528186,0.683416072,0.10997606,503.758684,863.576265,0.897541771
11.5,4.2831417,8490.53436,-0.818914781,-0.115223267,1.94794639,0.818914781,0.126745594,500.582495,834.192115,0.897541771
12,4.26145837,9099.61756,-0.758878656,-0.0257872466,1.60341961,0.758878656,0.0283659712,498.460595,813.762376,0.897541771
12.5,4.24316521,9698.3364,-0.671257678,0.0775995916,1.22625183,0.671257678,-0.0853595508,496.211678,833.372802,0.897541771
13,4.22796537,10287.5674,-0.76294596,0.101001334,0.824121102,0.76294596,-0.111101467,494.887646,761.086154,0.897541771
13.5,4.21559279,10867.7729,-0.80194406,0.0315654926,0.405213643,0.80194406,-0.0347220419,493.364458,710.394787,0.897541771
14,4.17942439,11439.4539,-0.733269392,-0.0591961588,-0.0219427969,0.733269392,0.0651157747,489.889354,850.146338,0.897541771
14.5,4.13676651,12003.2702,-0.815334211,-0.0878471473,-0.448652545,0.815334211,0.0966318621,484.534986,816.979229,0.897541771
15,4.09679363,12559.6117,-0.985984261,-0.0348947138,-0.866229021,0.985984261,0.0383841852,480.354552,872.179267,0.897541771
15.5,4.05921638,13108.6997,-1.04386687,0.0441252621,-1.26617157,1.04386687,-0.0485377883,476.72821,791.065575,0.897541771
