time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,-21.7228645,6.06919731,2.66424958,20,-6.67611704,42.217223,820.90567,1.08171879
0.5,0.238121446,178.735929,-8.24225343,5.32110024,2.8333904,8.24225343,-5.85321026,57.5608987,714.299795,1.08171879
1,0.378083216,230.589831,-4.32442651,1.88986313,2.94485155,4.32442651,-2.07884944,72.6523731,774.53928,1.08171879
1.5,0.523113496,306.295202,-5.04852081,-0.963663207,2.99636402,5.04852081,1.06002953,88.6752068,796.380735,1.08171879
2,0.673460099,406.55843,-2.48313003,-1.82636039,2.98687916,2.48313003,2.00899642,105.680403,737.554521,1.08171879
2.5,0.829081135,532.161681,0.444438513,-0.955846032,2.91659006,-0.444438513,1.05143064,122.465253,723.064821,1.08171879
3,0.988037592,683.832834,0.183765778,0.375460695,2.78692759,-0.183765778,-0.413006764,140.444138,773.392912,1.08171879
3.5,1.14823272,861.753964,-0.0782608715,1.00362002,2.60053131,0.0782608715,-1.10398202,158.483191,764.087502,1.08171879
4,1.31532483,1066.30527,0.713505436,0.636757062,2.36119572,-0.713505436,-0.700432768,177.276211,815.597081,1.08171879
4.5,1.49487605,1299.11277,0.0635242498,-0.158943964,2.07379298,-0.0635242498,0.17483836,196.974043,728.23451,1.08171879
5,1.68478747,1561.75945,-1.2180214,-0.618555449,1.74417381,1.2180214,0.680410994,217.727387,693.151583,1.08171879
5.5,1.88388262,1855.14448,-1.28877326,-0.4490836,1.37904828,1.28877326,0.49399196,239.847197,746.401534,1.08171879
6,2.09303811,2180.24452,-1.32102959,0.0542061387,0.985849311,1.32102959,-0.0596267526,263.093848,788.811844,1.08171879
6.5,2.31342356,2538.07537,-1.87169631,0.391808656,0.57258129,1.87169631,-0.430989522,287.580979,709.511195,1.08171879
7,2.54651173,2929.39748,-1.70317219,0.3208793,0.147657166,1.70317219,-0.35296723,313.216191,698.331858,1.08171879
7.5,2.79423423,3355.41775,-1.10525829,-0.00256916702,-0.280272833,1.10525829,0.00282608372,340.609581,779.702471,1.08171879
8,3.05872975,3818.0215,-1.01069261,-0.247038134,-0.702497285,1.01069261,0.271741947,369.981705,801.630233,1.08171879
8.5,3.34258802,4319.00602,-0.88266618,-0.225663011,-1.11042092,0.88266618,0.248229312,401.687726,742.170975,1.08171879
9,3.6491396,4860.56026,-0.451240256,-0.0204792122,-1.49573958,0.451240256,0.0225271334,436.070358,748.925701,1.08171879
9.5,3.98153153,5445.92342,-0.348647655,0.150808517,-1.8506093,0.348647655,-0.165889369,472.750512,697.806438,1.08171879
10,3.94477863,6048.47718,-0.491637147,0.168638114,-2.16780596,0.491637147,-0.185501926,468.508661,800.863926,1.08171879
10.5,3.90958758,6639.17001,-0.423960454,0.0332691629,-2.44087233,0.423960454,-0.0365960792,464.340572,735.54799,1.08171879
11,3.87813573,7218.95599,-0.373823665,-0.119442234,-2.66424958,0.373823665,0.131386458,460.973214,779.451956,1.08171879
11.5,3.85005636,7788.64657,-0.610234232,-0.150596614,-2.8333904,0.610234232,0.165656275,458.28778,784.188965,1.08171879
12,3.82501497,8348.43281,-0.765476135,-0.0433803238,-2.94485155,0.765476135,0.0477183562,455.304304,768.988285,1.08171879
12.5,3.80276112,8898.61093,-0.738373377,0.0931085144,-2.99636402,0.738373377,-0.102419366,452.939259,769.180977,1.08171879
13,3.78305771,9439.75076,-0.888174791,0.133408631,-2.98687916,0.888174791,-0.146749494,450.436985,787.031944,1.08171879
13.5,3.76565999,9972.11757,-1.1052158,0.0499299553,-2.91659006,1.1052158,-0.0549229508,448.342269,725.7734,1.08171879
14,3.75039005,10495.861,-1.08616136,-0.0710941453,-2.78692759,1.08616136,0.0782035599,446.997002,812.437851,1.08171879
14.5,3.73710708,11011.4467,-1.0633335,-0.117339815,-2.60053131,1.0633335,0.129073797,445.612158,783.236533,1.08171879
