time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,21.0949125,0.199295513,-2.01004392,-20,-0.219225065,41.4289372,733.339272,1.00619032
0.5,0.248158208,179.238776,8.93123522,-3.51549191,-1.67264321,-8.93123522,3.8670411,57.339653,703.351613,1.00619032
1,0.398541497,233.072936,2.74407656,-2.35603469,-1.30119231,-2.74407656,2.59163816,73.4319114,642.199392,1.00619032
1.5,0.554413713,312.333639,2.10474566,-0.22389383,-0.903252887,-2.10474566,0.246283213,89.8327082,672.562929,1.00619032
2,0.715980121,417.888257,0.468649043,1.10659698,-0.486925841,-0.468649043,-1.21725668,107.510213,677.080926,1.00619032
2.5,0.882765694,550.497901,-2.30217399,1.07434686,-0.0606863885,2.30217399,-1.18178154,125.76188,703.120501,1.00619032
3,1.05182982,710.412157,-2.69949,0.207218489,0.366788464,2.69949,-0.227940338,144.057926,697.66717,1.00619032
3.5,1.22351482,897.483103,-2.12097403,-0.563885531,0.78679656,2.12097403,0.620274084,162.335819,627.38522,1.00619032
4,1.40618549,1112.42639,-2.48706216,-0.656968697,1.19078775,2.48706216,0.722665567,182.210317,672.382468,1.00619032
4.5,1.60120104,1356.66131,-2.23624587,-0.184105195,1.57053793,2.23624587,0.202515715,203.458028,682.211073,1.00619032
5,1.80597178,1631.36105,-1.1264118,0.317784544,1.91831649,1.1264118,-0.349562999,225.562991,774.895665,1.00619032
5.5,2.02070898,1937.88133,-0.789188297,0.429142967,2.22704366,0.789188297,-0.472057264,248.879574,668.290829,1.00619032
6,2.24649458,2277.48021,-0.86276648,0.15524848,2.49043464,0.86276648,-0.170773328,273.165039,698.752595,1.00619032
6.5,2.48475138,2651.31189,-0.466597673,-0.18206328,2.70312755,0.466597673,0.200269608,298.811622,668.293082,1.00619032
7,2.73719263,3061.07981,-0.345486365,-0.285784076,2.86079259,0.345486365,0.314362483,326.33745,740.895755,1.00619032
7.5,3.00585523,3508.48124,-0.693037659,-0.125140403,2.96022013,0.693037659,0.137654443,355.250811,667.6962,1.00619032
8,3.29324558,3994.7202,-0.726814262,0.101418854,2.99938613,0.726814262,-0.111560739,386.390532,740.084758,1.00619032
8.5,3.60250284,4521.52495,-0.597431373,0.187592649,2.97749328,0.597431373,-0.206351914,420.143652,676.25779,1.00619032
9,3.93746101,5091.24562,-0.723249964,0.0955340772,2.89498725,0.723249964,-0.105087485,456.476833,745.736271,1.00619032
9.5,4.29477252,5705.69787,-0.748432973,-0.0528215934,2.75354763,0.748432973,0.0581037527,495.065087,706.285306,1.00619032
10,4.25810734,6335.733,-0.603717995,-0.131163863,2.55605372,0.603717995,0.144280249,490.842733,703.015524,1.00619032
10.5,4.22339037,6952.3257,-0.609573976,-0.0841713203,2.30652592,0.609573976,0.0925884523,487.300351,679.675288,1.00619032
11,4.19281878,7556.47657,-0.722548088,0.0336630478,2.01004392,0.722548088,-0.0370293526,483.825817,773.091513,1.00619032
11.5,4.16600085,8148.76908,-0.652249014,0.109762947,1.67264321,0.652249014,-0.120739241,480.895066,630.453645,1.00619032
