time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,-10.1295681,-0.0465951612,2.99480597,10.1295681,0.0512546773,48.0418585,876.57847,1.10036776
0.5,0.242071992,179.074185,-3.20882168,-2.02369153,2.93921066,3.20882168,2.22606068,65.6954898,804.270024,1.10036776
1,0.385995116,231.965854,0.692454541,-1.32356851,2.8237815,-0.692454541,1.45592536,83.90688,812.090672,1.10036776
1.5,0.534987864,309.464688,0.651131331,-0.0984507742,2.65086829,-0.651131331,0.108295852,102.543536,886.385603,1.10036776
2,0.689235241,412.370384,-0.161383861,0.648106143,2.42399105,0.161383861,-0.712916758,121.609991,869.127948,1.10036776
2.5,0.848426417,541.443781,0.0816346099,0.610538085,2.14776834,-0.0816346099,-0.671591894,142.209898,822.055197,1.10036776
3,1.00995426,697.214152,-0.325608195,0.104332235,1.82782326,0.325608195,-0.114765459,162.428138,855.576553,1.10036776
3.5,1.17207082,879.642862,-1.42929436,-0.333919734,1.47066897,1.42929436,0.367311707,183.392582,865.595163,1.10036776
4,1.3422281,1089.02494,-1.74314778,-0.377611564,1.0835761,1.74314778,0.415372721,204.164491,826.620205,1.10036776
4.5,1.52518913,1326.87756,-1.6835671,-0.0979063884,0.674424741,1.6835671,0.107697027,227.129312,844.566795,1.10036776
5,1.71794313,1594.66924,-1.99022648,0.19101731,0.251544044,1.99022648,-0.210119041,251.808986,877.539502,1.10036776
5.5,1.91953137,1893.27267,-1.96001599,0.249104637,-0.176457365,1.96001599,-0.274015101,277.265783,797.385749,1.10036776
6,2.13090033,2223.53878,-1.465003,0.0850628801,-0.600866611,1.465003,-0.0935691682,304.184882,862.665449,1.10036776
6.5,2.35326925,2586.60758,-1.22678303,-0.111077229,-1.01304394,1.22678303,0.122184952,331.99647,827.999254,1.10036776
7,2.58804746,2983.70447,-1.11739426,-0.167681919,-1.40459863,1.11739426,0.184450111,361.393324,841.41324,1.10036776
7.5,2.83700601,3416.16809,-0.783138174,-0.070177242,-1.76755973,0.783138174,0.0771949662,393.339293,873.638915,1.10036776
8,3.10228886,3885.77949,-0.585362389,0.0631329953,-2.09453841,0.585362389,-0.0694462948,426.849932,845.150227,1.10036776
8.5,3.38647305,4394.53019,-0.629520912,0.111565224,-2.37887834,0.629520912,-0.122721746,462.19099,833.610648,1.10036776
9,3.69277042,4944.41086,-0.57502953,0.0547495249,-2.61479116,0.57502953,-0.0602244774,500.841605,817.990753,1.10036776
9.5,4.02521678,5537.87933,-0.48526543,-0.0337463044,-2.79747437,0.48526543,0.0371209348,543.545505,802.55704,1.10036776
10,3.9812364,6147.6472,-0.55168114,-0.0791195552,-2.92320907,0.55168114,0.0870315108,537.589335,874.576665,1.10036776
10.5,3.93945986,6744.19623,-0.641469282,-0.0491550131,-2.98943566,0.641469282,0.0540705144,532.63165,899.684645,1.10036776
11,3.90203704,7328.297,-0.631704207,0.0223309386,-2.99480597,0.631704207,-0.0245640324,527.649006,909.311509,1.10036776
11.5,3.86854005,7900.82403,-0.687632948,0.0672459626,-2.93921066,0.687632948,-0.0739705588,523.443251,839.556381,1.10036776
12,3.8385728,8462.45034,-0.808342659,0.0475577449,-2.8237815,0.808342659,-0.0523135194,519.647555,850.138994,1.10036776
12.5,3.81180591,9013.67414,-0.822473064,-0.0132237207,-2.65086829,0.822473064,0.0145460928,516.348516,891.282702,1.10036776
13,3.78796663,9555.11852,-0.805580821,-0.0567048469,-2.42399105,0.805580821,0.0623753316,512.935518,785.372018,1.10036776
13.5,3.76679305,10087.4046,-0.879907735,-0.0452401542,-2.14776834,0.879907735,0.0497641697,510.423862,900.872383,1.10036776
14,3.74805147,10610.9746,-0.922456528,0.00602227007,-1.82782326,0.922456528,-0.00662449708,508.180245,819.826506,1.10036776
14.5,3.72557561,11126.2714,-0.891253208,0.0474076668,-1.47066897,0.891253208,-0.0521484335,504.891715,806.953699,1.10036776
15,3.68301217,11633.8074,-0.936124517,0.0424481741,-1.0835761,0.936124517,-0.0466929916,499.737646,752.185058,1.10036776
15.5,3.64294958,12133.9967,-1.0362862,-0.000400630876,-0.674424741,1.0362862,0.000440693963,494.700956,905.875044,1.10036776
16,3.60512726,12627.1527,-1.07590617,-0.0392390578,-0.251544044,1.07590617,0.0431629636,489.938339,875.448778,1.10036776
16.5,3.56931913,13113.6122,-1.13633909,-0.0393557074,0.176457365,1.13633909,0.0432912781,485.332383,781.541934,1.10036776
17,3.53531555,13593.66,-1.28321008,-0.00391305625,0.600866611,1.28321008,0.00430436187,481.25594,904.955021,1.10036776
17.5,3.50293794,14067.4816,-1.40381124,0.03210508,1.01304394,1.40381124,-0.0353155879,477.485831,882.395216,1.10036776
18,3.47203824,14535.2656,-1.48521019,0.0361201418,1.40459863,1.48521019,-0.039732156,473.439083,856.09448,1.10036776
18.5,3.44247753,14997.2146,-1.62590342,0.00714976714,1.76755973,1.62590342,-0.00786474385,469.466395,864.069366,1.10036776
19,3.41412959,15453.478,-1.77564683,-0.0259202811,2.09453841,1.77564683,0.0285123092,466.140615,752.131466,1.10036776
19.5,3.38689222,15904.1905,-1.85843274,-0.0328625596,2.37887834,1.85843274,0.0361488156,462.425945,891.346914,1.10036776
20,3.36067284,16349.5181,-1.9516362,-0.00950878151,2.61479116,1.9516362,0.0104596597,459.585132,898.020477,1.10036776
20.5,3.33538084,16789.6129,-2.08267907,0.02059128,2.79747437,2.08267907,-0.022650408,455.867596,906.0544,1.10036776
21,3.31094002,17224.5986,-2.16799559,0.0296668374,2.92320907,2.16799559,-0.0326335211,453.049172,861.782443,1.10036776
21.5,3.2872856,17654.6135,-2.23123421,0.0111583545,2.98943566,2.23123421,-0.0122741899,449.643547,856.740824,1.10036776
22,3.26435235,18079.7971,-2.34637982,-0.0160235178,2.99480597,2.34637982,0.0176258695,447.147756,907.733365,1.10036776
22.5,3.24208089,18500.2585,-2.46381662,-0.0265884143,2.93921066,2.46381662,0.0292472557,444.157793,908.847908,1.10036776
23,3.22042315,18916.098,-2.55050525,-0.0122383206,2.8237815,2.55050525,0.0134621526,441.582607,835.411239,1.10036776
23.5,3.19933301,19327.4207,-2.67667099,0.0121273604,2.65086829,2.67667099,-0.0133400964,439.098307,869.820032,1.10036776
24,3.17876521,19734.3113,-2.84022725,0.0236633214,2.42399105,2.84022725,-0.0260296535,436.124912,870.557435,1.10036776
24.5,3.15814927,20136.8373,-2.97698568,0.0128643693,2.14776834,2.97698568,-0.0141508062,433.634536,843.86651,1.10036776
