time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,-14.5296507,12.1723988,-2.9977509,14.5296507,-13.3896387,34.018412,824.753532,1.01774132
0.5,0.228929725,177.960748,-4.46311132,2.41833435,-2.98376721,4.46311132,-2.66016779,45.2386841,784.072351,1.01774132
1,0.359209426,227.468849,3.76674389,-1.89328109,-2.90904264,-3.76674389,2.0826092,56.4657166,730.645476,1.01774132
1.5,0.494011917,299.261511,3.69971455,-2.55270031,-2.77509834,-3.69971455,2.80797034,68.5468037,777.070873,1.01774132
2,0.633577089,394.093549,1.03993086,-1.03103891,-2.58466104,-1.03993086,1.1341428,81.1281311,830.935629,1.01774132
2.5,0.777953735,512.684245,1.172213,0.709891765,-2.3416075,-1.172213,-0.780880941,94.0710933,795.586325,1.01774132
3,0.926036826,655.692691,0.468133841,1.30912435,-2.05088559,-0.468133841,-1.44003679,107.424129,848.587224,1.01774132
3.5,1.07502992,823.351804,-2.11159348,0.675337387,-1.71841355,2.11159348,-0.742871125,120.349608,776.612248,1.01774132
4,1.2265664,1015.4724,-2.98207072,-0.339381325,-1.35095957,2.98207072,0.373319457,134.000668,676.229541,1.01774132
4.5,1.3881438,1232.69568,-2.58472964,-0.812553767,-0.956003955,2.58472964,0.893809144,148.361818,754.123523,1.01774132
5,1.56107766,1476.51604,-3.10787907,-0.491412315,-0.541586853,3.10787907,0.540553547,163.731659,825.48299,1.01774132
5.5,1.74271613,1747.90763,-3.15604943,0.161638557,-0.116144603,3.15604943,-0.177802412,179.796722,762.37952,1.01774132
6,1.93302477,2047.52205,-2.00148811,0.524605536,0.311662015,2.00148811,-0.577066089,196.82849,687.761492,1.01774132
6.5,2.13296904,2376.47686,-1.39550089,0.362747758,0.733124094,1.39550089,-0.399022534,214.52681,782.136402,1.01774132
7,2.3435816,2735.97681,-1.33466746,-0.0671031427,1.13966188,1.33466746,0.073813457,233.57238,719.380447,1.01774132
7.5,2.56626555,3127.1483,-0.750630432,-0.342252137,1.52299944,0.750630432,0.376477351,252.961653,792.371624,1.01774132
8,2.80272436,3551.72764,-0.352112102,-0.266138009,1.87533312,0.352112102,0.29275181,274.157616,805.858933,1.01774132
8.5,3.0549367,4011.6596,-0.611208627,0.0165991244,2.18949042,0.611208627,-0.0182590368,296.291451,748.232173,1.01774132
9,3.32536214,4508.40645,-0.672643132,0.219456319,2.45907602,0.672643132,-0.241401951,320.742134,848.234202,1.01774132
9.5,3.61710306,5043.79467,-0.515803837,0.189816885,2.67860192,0.515803837,-0.208798574,346.857994,708.278731,1.01774132
10,3.57785212,5593.73637,-0.680837432,0.00902172873,2.8435992,0.680837432,-0.0099239016,343.277811,777.151291,1.01774132
10.5,3.53984606,6131.94417,-0.92661549,-0.165146939,2.95070901,0.92661549,0.181661633,339.776804,782.806782,1.01774132
11,3.50507206,6658.69376,-0.855625412,-0.175869031,2.9977509,0.855625412,0.193455935,336.798843,763.688063,1.01774132
11.5,3.47325448,7174.76067,-0.873118898,-0.0265392507,2.98376721,0.873118898,0.0291931758,333.980566,818.067993,1.01774132
12,3.44407898,7680.73359,-1.10029078,0.135026747,2.90904264,1.10029078,-0.148529422,331.464203,776.750715,1.01774132
12.5,3.41730484,8176.84061,-1.07156413,0.161638318,2.77509834,1.07156413,-0.17780215,328.871222,807.422868,1.01774132
13,3.39277136,8663.66166,-0.895898952,0.0397115417,2.58466104,0.895898952,-0.0436826959,326.7767,776.89361,1.01774132
13.5,3.37027641,9141.94857,-0.967219833,-0.108853464,2.3416075,0.967219833,0.11973881,324.609677,741.388364,1.01774132
14,3.34962721,9612.08338,-1.01600552,-0.147400672,2.05088559,1.01600552,0.16214074,322.864209,804.919218,1.01774132
14.5,3.33069789,10074.4357,-0.843809011,-0.0493272182,1.71841355,0.843809011,0.0542599401,321.155312,808.8445,1.01774132
15,3.31336046,10529.5918,-0.837359271,0.0861751128,1.35095957,0.837359271,-0.0947926241,319.401315,721.421514,1.01774132
15.5,3.29746823,10977.9083,-1.01961873,0.133405861,0.956003955,1.01961873,-0.146746447,318.069481,748.816706,1.01774132
16,3.26327877,11419.5141,-1.04144711,0.0560296927,0.541586853,1.04144711,-0.0616326619,315.022956,804.805004,1.01774132
16.5,3.22882587,11854.6938,-1.06578,-0.0665913713,0.116144603,1.06578,0.0732505084,312.312368,930.023078,1.01774132
17,3.195957,12283.7098,-1.32826264,-0.119832192,-0.311662015,1.32826264,0.131815411,309.118401,802.372184,1.01774132
17.5,3.16451934,12706.6023,-1.53664338,-0.0603483132,-0.733124094,1.53664338,0.0663831446,306.741852,800.814846,1.01774132
18,3.13440572,13123.4474,-1.58643477,0.0497605756,-1.13966188,1.58643477,-0.0547366332,303.632474,747.536997,1.01774132
18.5,3.10550273,13534.4348,-1.76681989,0.106852299,-1.52299944,1.76681989,-0.117537529,300.941573,821.756969,1.01774132
19,3.07769498,13939.6595,-1.99430942,0.0627579211,-1.87533312,1.99430942,-0.0690337132,298.744257,810.818524,1.01774132
19.5,3.05090671,14339.1854,-2.01690472,-0.0353931234,-2.18949042,2.01690472,0.0389324357,296.150192,886.250269,1.01774132
20,3.0250703,14733.2014,-2.02896188,-0.0946065383,-2.45907602,2.02896188,0.104067192,293.977842,702.918774,1.01774132
20.5,3.00009917,15121.8971,-2.16723218,-0.0636596665,-2.67860192,2.16723218,0.0700256331,291.827388,778.571345,1.01774132
21,2.9759259,15505.3855,-2.1949533,0.0231996552,-2.8435992,2.1949533,-0.0255196207,289.681125,720.568662,1.01774132
21.5,2.95250299,15883.8277,-2.13217587,0.0831546468,-2.95070901,2.13217587,-0.0914701114,287.529264,749.855448,1.01774132
22,2.92976862,16257.4168,-2.22062754,0.0633735102,-2.9977509,2.22062754,-0.0697108612,285.359392,768.081424,1.01774132
22.5,2.90766265,16626.2641,-2.34676983,-0.0129094297,-2.98376721,2.34676983,0.0142003727,283.457077,632.114765,1.01774132
23,2.88614681,16990.4541,-2.36822527,-0.072512751,-2.90904264,2.36822527,0.0797640261,281.756958,832.750371,1.01774132
23.5,2.86518186,17350.1038,-2.4800789,-0.0621590837,-2.77509834,2.4800789,0.0683749921,279.53427,801.680866,1.01774132
24,2.84472096,17705.2876,-2.71642859,0.00428162794,-2.58466104,2.71642859,-0.00470979074,277.831798,697.407816,1.01774132
24.5,2.82473236,18056.0295,-2.8668278,0.0626801719,-2.3416075,2.8668278,-0.0689481891,275.997982,701.232796,1.01774132
25,2.80519397,18402.3806,-2.98954645,0.0602337896,-2.05088559,2.98954645,-0.0662571686,274.780918,739.568052,1.01774132
25.5,2.7860744,18744.3993,-3.22592879,0.00289736383,-1.71841355,3.22592879,-0.00318710021,272.535176,770.172912,1.01774132
26,2.76734662,19082.1093,-3.42048883,-0.0536437185,-1.35095957,3.42048883,0.0590080903,271.106584,693.162463,1.01774132
