time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,9.11874332,5.97827189,-2.41395407,-9.11874332,-6.57609908,37.6871364,809.58307,1.01266898
0.5,0.229337386,178.053359,4.57939927,0.844359425,-2.13588623,-4.57939927,-0.928795368,50.5168894,728.643928,1.01266898
1,0.36013257,227.819728,1.48718325,-1.13699963,-1.8143379,-1.48718325,1.2506996,63.4771996,746.364018,1.01266898
1.5,0.495643288,300.034843,1.40535101,-1.25362857,-1.45585488,-1.40535101,1.37899142,76.8663879,765.122292,1.01266898
2,0.636108566,395.462039,0.231366359,-0.390635155,-1.06773486,-0.231366359,0.42969867,90.7927561,798.840774,1.01266898
2.5,0.781633348,514.854537,-1.89065085,0.445859848,-0.657878829,1.89065085,-0.490445832,104.953617,755.684595,1.01266898
3,0.93124316,658.827613,-2.45074504,0.650168676,-0.234630286,2.45074504,-0.715185544,120.275239,722.701916,1.01266898
3.5,1.08250797,827.638639,-2.36688591,0.269808092,0.193394653,2.36688591,-0.296788901,134.983202,731.404444,1.01266898
4,1.2373732,1021.3548,-2.87348058,-0.227034713,0.617482634,2.87348058,0.249738184,150.244382,806.878232,1.01266898
4.5,1.40264218,1240.77703,-2.81938935,-0.407140326,1.02900045,2.81938935,0.447854359,166.832498,706.002347,1.01266898
5,1.57917999,1487.37755,-2.02972443,-0.203474737,1.41957078,2.02972443,0.223822211,184.254793,638.598014,1.01266898
5.5,1.76487611,1762.46008,-1.67648995,0.119805723,1.78124275,1.67648995,-0.131786295,202.91233,756.663053,1.01266898
6,1.95982806,2067.06191,-1.54128509,0.265512716,2.10665375,1.54128509,-0.292063987,221.936768,693.519344,1.01266898
6.5,2.16509198,2402.22803,-1.04754832,0.154296475,2.38917936,1.04754832,-0.169726123,242.431743,752.034457,1.01266898
7,2.38196374,2769.30799,-0.773155404,-0.0606903754,2.62306816,0.773155404,0.0667594129,264.116899,737.768587,1.01266898
7.5,2.61194871,3169.76466,-0.889748285,-0.174808511,2.80355886,0.889748285,0.192289362,286.549349,732.239785,1.01266898
