time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,1.09724225,1.71333492,1.27697265,-1.09724225,-1.88466841,37.8896617,714.036537,1.05221127
0.5,0.247405921,179.404812,6.27205751,3.65734226,0.877639508,-6.27205751,-4.02307649,52.1293218,880.210558,1.05221127
1,0.396979787,233.47955,2.59728488,1.95979167,0.460440157,-2.59728488,-2.15577083,66.9372514,798.425872,1.05221127
1.5,0.552024782,313.072017,1.58391473,-0.139850886,0.0338675718,-1.58391473,0.153835974,82.5198316,775.662632,1.05221127
2,0.71276226,419.056508,1.69528083,-1.18513647,-0.393394459,-1.69528083,1.30365011,98.4223578,813.655775,1.05221127
2.5,0.87881146,552.298193,-0.449141084,-0.917756514,-0.812648113,0.449141084,1.00953216,114.98897,783.519989,1.05221127
3,1.047478,713.256394,-2.23655929,-0.0184492182,-1.2153586,2.23655929,0.0202941401,131.855852,816.574395,1.05221127
3.5,1.21884326,901.868476,-2.15828432,0.62263696,-1.59332788,2.15828432,-0.684900656,148.803156,765.017661,1.05221127
4,1.40089973,1118.84763,-2.37093015,0.574104191,-1.93886161,2.37093015,-0.63151461,167.066982,874.751769,1.05221127
4.5,1.59521174,1365.70995,-2.87155366,0.0661663679,-2.2449257,2.87155366,-0.0727830047,186.45669,741.530165,1.05221127
5,1.79928643,1643.478,-2.23779392,-0.363900742,-2.50528958,2.23779392,0.400290816,206.655372,719.592984,1.05221127
5.5,2.01345782,1953.16873,-1.43089681,-0.383052602,-2.71465299,1.43089681,0.421357862,228.092566,803.999666,1.05221127
6,2.23882323,2296.07515,-1.31733872,-0.0781492665,-2.86875389,1.31733872,0.0859641931,250.7548,715.390262,1.05221127
6.5,2.47676622,2673.3904,-1.00688935,0.217936389,-2.96445524,1.00688935,-0.239730028,274.381237,750.099284,1.05221127
7,2.72903482,3086.6464,-0.489970481,0.26013411,-2.99980883,0.489970481,-0.286147521,299.354189,729.903539,1.05221127
7.5,2.99767597,3537.89876,-0.510045539,0.0743059388,-2.97409495,0.510045539,-0.0817365327,325.929687,744.664133,1.05221127
8,3.28518426,4028.95569,-0.662581241,-0.128541387,-2.88783709,0.662581241,0.141395526,354.641055,784.853981,1.05221127
8.5,3.5946837,4561.60674,-0.527898873,-0.173926978,-2.74279119,0.527898873,0.191319676,385.455718,828.128977,1.05221127
9,3.93005278,5138.37627,-0.533247917,-0.0626877852,-2.54190996,0.533247917,0.0689565637,418.775136,661.986454,1.05221127
9.5,4.28997876,5761.73773,-0.687733993,0.0723652628,-2.28928279,0.687733993,-0.0796017891,454.497089,852.054541,1.05221127
10,4.25681885,6402.16316,-0.666804079,0.123579902,-1.99005241,0.666804079,-0.135937892,451.859921,778.91211,1.05221127
10.5,4.22540792,7029.63283,-0.61497255,0.0589773873,-1.65031031,0.61497255,-0.064875126,448.261142,773.447571,1.05221127
11,4.19799107,7645.20068,-0.74123341,-0.0518373431,-1.27697265,0.74123341,0.0570210774,445.823184,834.814344,1.05221127
