time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,-21.6176915,6.81229258,2.87198058,20,-7.49352184,45.1293179,900.95563,0.958865569
0.5,0.237097871,178.547627,-5.72618325,4.29532904,2.71935783,5.72618325,-4.72486195,60.6027316,800.348885,0.958865569
1,0.37605191,229.939735,-4.18422025,0.995343604,2.51137679,4.18422025,-1.09487796,77.1421038,887.125341,0.958865569
1.5,0.520116764,304.893544,-3.27545564,-1.18124323,2.25227137,3.27545564,1.29936756,94.0078517,943.126973,0.958865569
2,0.669571326,404.152838,0.0211356593,-1.51039551,1.9473162,-0.0211356593,1.66143506,112.016384,838.03222,0.958865569
2.5,0.824355212,528.580479,1.00412792,-0.553188113,1.60271928,-1.00412792,0.608506925,130.257589,907.40943,0.958865569
3,0.982757862,678.899249,0.0377183946,0.517855758,1.22549562,-0.0377183946,-0.569641334,149.141185,855.94741,0.958865569
3.5,1.14268653,855.300533,0.220042451,0.849226175,0.823324409,-0.220042451,-0.934148792,167.625959,810.46396,0.958865569
4,1.30934804,1058.20333,0.283801319,0.394144058,0.404392683,-0.283801319,-0.433558464,187.215613,799.375491,0.958865569
4.5,1.48839487,1289.08804,-0.971664185,-0.265975492,-0.0227713113,0.971664185,0.292573041,208.998581,855.669846,0.958865569
5,1.67795585,1549.33722,-1.64130228,-0.536099466,-0.449471748,1.64130228,0.589709413,230.735093,922.548976,0.958865569
5.5,1.87690542,1839.86309,-1.44149918,-0.292935614,-0.867022235,1.44149918,0.322229176,254.229228,808.479627,0.958865569
6,2.08608913,2161.6606,-1.70505359,0.135714332,-1.26692265,1.70505359,-0.149285766,278.661481,903.258551,0.958865569
6.5,2.30670522,2515.56397,-1.89310129,0.348254402,-1.64103217,1.89310129,-0.383079842,304.653907,900.664737,0.958865569
7,2.54034011,2902.43487,-1.34457604,0.218408345,-1.98173502,1.34457604,-0.24024918,332.586872,908.011496,0.958865569
7.5,2.78886874,3323.84515,-0.958941084,-0.0640158278,-2.28209545,0.958941084,0.0704174106,361.881139,883.183226,0.958865569
8,3.05443131,3781.63976,-0.937214507,-0.225616006,-2.53599899,0.937214507,0.248177606,392.894076,830.537182,0.958865569
8.5,3.33973152,4277.58806,-0.645402378,-0.159215531,-2.73827692,0.645402378,0.175137084,426.53971,873.151483,0.958865569
9,3.64815819,4814.24195,-0.363270274,0.0243514794,-2.88481142,0.363270274,-0.0267866273,463.050794,882.368258,0.958865569
9.5,3.98044689,5394.64704,-0.446860242,0.141973311,-2.97261948,0.446860242,-0.156170642,502.165047,871.50155,0.958865569
10,3.94586849,5991.77255,-0.505408365,0.122831756,-2.99991358,0.505408365,-0.135114931,498.040755,939.766921,0.958865569
10.5,3.91265964,6577.22504,-0.417866706,-0.00487013482,-2.96613809,0.417866706,0.0053571483,494.514884,872.370933,0.958865569
11,3.8829685,7151.9766,-0.520616143,-0.116327485,-2.87198058,0.520616143,0.127960233,490.689995,923.402287,0.958865569
