time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,10.7079344,-4.96883065,-0.314287308,-10.7079344,5.46571372,43.8883524,760.337643,1.03514471
0.5,0.239818557,178.981822,1.92975737,-0.689403039,-0.735683474,-1.92975737,0.758343343,59.4922061,660.327498,1.03514471
1,0.381495129,231.522986,0.991520481,0.878182881,-1.14210324,-0.991520481,-0.966001169,75.754978,852.62139,1.03514471
1.5,0.528268766,308.42193,-0.548384094,0.974725334,-1.52527309,0.548384094,-1.07219787,92.4403719,766.164975,1.03514471
2,0.680328797,410.473907,-2.494698,0.308905555,-1.87739277,2.494698,-0.339796111,109.8922,717.150857,1.03514471
2.5,0.83742612,538.417926,-2.69494521,-0.338861186,-2.19129415,2.69494521,0.372747305,127.822993,755.460262,1.03514471
3,0.997165749,692.757468,-2.36233535,-0.501365781,-2.4605871,2.36233535,0.551502359,146.413208,846.203883,1.03514471
3.5,1.1573242,873.452283,-2.61267352,-0.211716356,-2.67978959,2.61267352,0.232887991,164.358615,776.481329,1.03514471
4,1.3247909,1080.72277,-2.39221474,0.171409291,-2.84443929,2.39221474,-0.18855022,183.780178,782.855351,1.03514471
4.5,1.50538691,1316.08047,-1.65633471,0.311636393,-2.95118441,1.65633471,-0.342800032,204.742055,753.856142,1.03514471
5,1.69635581,1581.20823,-1.42269968,0.157599787,-2.99785193,1.42269968,-0.173359765,226.338247,789.296833,1.03514471
5.5,1.8963653,1877.24449,-1.39363624,-0.0891435705,-2.98349183,1.39363624,0.0980579275,249.46609,753.269444,1.03514471
6,2.10627108,2205.20873,-1.06236422,-0.201487405,-2.90839644,1.06236422,0.221636145,273.471445,840.161692,1.03514471
6.5,2.32732167,2566.3213,-0.928346859,-0.118290213,-2.77409448,0.928346859,0.130119235,298.692214,788.858,1.03514471
7,2.56097805,2961.87855,-1.07481387,0.0443831233,-2.58331996,1.07481387,-0.0488214356,325.842969,810.944819,1.03514471
7.5,2.80905135,3393.14314,-1.0125256,0.131318145,-2.33995649,1.0125256,-0.14444996,354.083102,792.917907,1.03514471
8,3.07379329,3861.65558,-0.866536557,0.0873847192,-2.04895826,0.866536557,-0.0961231911,384.578428,716.935405,1.03514471
8.5,3.3579144,4369.28199,-0.890912167,-0.0192681421,-1.71624915,0.890912167,0.0211949563,416.987148,738.955635,1.03514471
9,3.66477659,4917.99033,-0.837603644,-0.0837370835,-1.34860215,0.837603644,0.0921107918,452.21372,805.489849,1.03514471
9.5,3.99485184,5510.10126,-0.662239564,-0.0621951593,-0.953501505,0.662239564,0.0684146753,490.241478,705.265761,1.03514471
10,3.95085771,6117.89143,-0.638787789,0.00635806755,-0.538990317,0.638787789,-0.00699387431,484.788307,833.442717,1.03514471
10.5,3.90910302,6712.32672,-0.696753394,0.0629052723,-0.11350684,0.696753394,-0.0691957996,480.436851,816.036913,1.03514471
11,3.87165636,7294.28403,-0.658339326,0.0576946637,0.314287308,0.658339326,-0.0634641301,476.097768,778.228598,1.03514471
11.5,3.83810291,7864.71407,-0.632629483,0.000987786201,0.735683474,0.632629483,-0.00108656482,472.063075,760.198845,1.03514471
12,3.8080567,8424.44947,-0.716459673,-0.0515442843,1.14210324,0.716459673,0.0566987128,468.424794,819.230679,1.03514471
12.5,3.78118231,8974.05767,-0.762965584,-0.0529632778,1.52527309,0.762965584,0.0582596056,465.153139,793.747876,1.03514471
13,3.75720403,9514.09857,-0.758082878,-0.00651258625,1.87739277,0.758082878,0.00716384488,463.201739,754.622539,1.03514471
13.5,3.73586647,10045.1495,-0.848435581,0.0417438534,2.19129415,0.848435581,-0.0459182388,460.51658,843.444011,1.03514471
14,3.71693092,10567.6065,-0.975628038,0.0481515107,2.4605871,0.975628038,-0.0529666618,458.005635,731.305509,1.03514471
14.5,3.6967331,11081.7797,-1.02817306,0.0105607527,2.67978959,1.02817306,-0.0116168279,455.96489,765.720706,1.03514471
15,3.6541999,11588.0525,-1.1091687,-0.0333379401,2.84443929,1.1091687,0.0366717341,451.284435,819.676943,1.03514471
15.5,3.61415348,12086.7853,-1.26170597,-0.0433983307,2.95118441,1.26170597,0.0477381638,446.212063,783.158699,1.03514471
16,3.57633297,12578.2387,-1.35989456,-0.0134172977,2.99785193,1.35989456,0.0147590275,442.02926,780.419979,1.03514471
16.5,3.54052115,13062.7009,-1.41522228,0.0261616996,2.98349183,1.41522228,-0.0287778696,437.926527,752.997727,1.03514471
17,3.50651495,13540.4758,-1.52886998,0.038797642,2.90839644,1.52886998,-0.0426774062,434.003907,788.686216,1.03514471
17.5,3.4741339,14011.7971,-1.63582915,0.0153207928,2.77409448,1.63582915,-0.0168528721,430.360039,781.070414,1.03514471
18,3.44323081,14476.8853,-1.67696948,-0.0200763145,2.58331996,1.67696948,0.022083946,426.84011,787.211723,1.03514471
18.5,3.41367064,14935.991,-1.74800555,-0.0344282725,2.33995649,1.74800555,0.0378710997,423.508322,663.348389,1.03514471
19,3.38532469,15389.3264,-1.8643654,-0.0164724348,2.04895826,1.8643654,0.0181196783,420.350716,826.621499,1.03514471
19.5,3.35808579,15837.0587,-1.94095143,0.0149484649,1.71624915,1.94095143,-0.0164433114,417.502741,802.874764,1.03514471
20,3.33186155,16279.364,-2.01721842,0.0303353013,1.34860215,2.01721842,-0.0333688314,414.508907,798.372555,1.03514471
20.5,3.30656115,16716.4051,-2.15939045,0.0170370425,0.953501505,2.15939045,-0.0187407468,411.319176,722.571505,1.03514471
21,3.28210452,17148.2988,-2.30139015,-0.0106535208,0.538990317,2.30139015,0.0117188729,408.468022,703.921153,1.03514471
