time,Mach,Altitude,alpha,beta,dl,dm,dn,PARA1,PARA2,PARA3
0,0.10302669,150,-37.1299986,-4.03200514,2.58420496,20,4.43520565,44.9999958,825.212143,0.971891121
0.5,0.250368923,179.845363,-7.0715031,4.99928183,2.34104594,7.0715031,-5.49921001,62.788803,753.405017,0.971891121
1,0.402977433,235.007265,-2.42890608,4.29202547,2.05022998,2.42890608,-4.72122802,81.2342998,762.021152,0.971891121
1.5,0.561047772,316.316697,-2.13974764,1.03459471,1.71767725,2.13974764,-1.13805418,99.3993748,734.068889,0.971891121
2,0.724817313,424.61839,1.73155421,-1.50736401,1.35015757,-1.73155421,1.65810041,119.151062,734.362374,0.971891121
2.5,0.89373998,560.825065,2.65989113,-1.90931392,0.95515257,-2.65989113,2.10024532,139.577535,774.087003,0.971891121
3,1.0651243,725.537626,0.0877936726,-0.672212248,0.540703418,-0.0877936726,0.739433473,160.108741,797.243187,0.971891121
3.5,1.23994189,918.868691,-0.679975111,0.729174666,0.115247104,0.679975111,-0.802092133,180.41497,838.249534,0.971891121
4,1.42597949,1141.77966,-0.690663842,1.13767228,-0.312555309,0.690663842,-1.25143951,202.672333,759.443808,0.971891121
4.5,1.62366878,1395.99021,-2.39887863,0.499706074,-0.733994997,2.39887863,-0.549676681,226.401588,758.982143,0.971891121
5,1.83069367,1682.5272,-3.28480137,-0.384154183,-1.14049266,3.28480137,0.422569601,251.101892,816.41101,0.971891121
5.5,2.0477022,2002.06856,-2.48796178,-0.725025259,-1.52377319,2.48796178,0.797527785,277.281294,773.949787,0.971891121
6,2.27596834,2355.6501,-2.26607529,-0.377304345,-1.87603409,2.26607529,0.41503478,303.960223,746.441712,0.971891121
6.5,2.51676082,2744.27178,-2.30049985,0.200723571,-2.19010434,2.30049985,-0.220795928,333.062884,651.105146,0.971891121
7,2.77188904,3168.91572,-1.37800645,0.470673386,-2.45959038,1.37800645,-0.517740725,363.381761,727.863597,0.971891121
7.5,3.04348157,3631.55078,-0.685394632,0.281195508,-2.67900626,0.685394632,-0.309315059,395.250341,767.956225,0.971891121
8,3.33387487,4134.58301,-0.757286843,-0.0973064849,-2.84388529,0.757286843,0.107037133,430.233407,700.943863,0.971891121
8.5,3.64606033,4679.9992,-0.558361331,-0.300851105,-2.95087103,0.558361331,0.330936215,466.670843,784.767251,0.971891121
9,3.98382565,5270.48046,-0.255421055,-0.202037832,-2.99778553,0.255421055,0.222241615,507.597025,837.576945,0.971891121
9.5,4.35182167,5909.44269,-0.460466234,0.0395974215,-2.98367377,0.460466234,-0.0435571636,551.521375,739.946293,0.971891121
10,4.32127907,6567.64174,-0.643884741,0.20355204,-2.90882302,0.643884741,-0.223907244,547.133372,697.386416,0.971891121
10.5,4.29239868,7213.41481,-0.556737705,0.168191578,-2.77475701,0.556737705,-0.185010735,543.89228,763.132322,0.971891121
11,4.26757791,7847.79122,-0.666799237,-0.0136588794,-2.58420496,0.666799237,0.0150247673,541.141637,808.322674,0.971891121
11.5,4.24638998,8471.28746,-0.984802672,-0.164068563,-2.34104594,0.984802672,0.18047542,538.589909,720.639645,0.971891121
12,4.2284964,9083.94429,-1.02292789,-0.15201702,-2.05022998,1.02292789,0.167218722,536.587624,789.942012,0.971891121
12.5,4.21366677,9686.32271,-0.963945754,-0.00527759185,-1.71767725,0.963945754,0.00580535103,534.718911,777.522372,0.971891121
13,4.20163095,10279.1405,-1.14383346,0.130998449,-1.35015757,1.14383346,-0.144098294,533.162433,789.857006,0.971891121
13.5,4.19213813,10862.6765,-1.22707143,0.136041687,-0.95515257,1.22707143,-0.149645856,532.472546,783.207957,0.971891121
14,4.15887037,11437.3457,-1.0764202,0.0187732474,-0.540703418,1.0764202,-0.0206505722,528.336184,785.591048,0.971891121
14.5,4.11859387,12003.9306,-1.08546219,-0.103433299,-0.115247104,1.08546219,0.113776629,523.711491,763.907848,0.971891121
15,4.08076473,12562.9545,-1.21845334,-0.120671487,0.312555309,1.21845334,0.132738635,518.804492,790.713121,0.971891121
15.5,4.04512441,13114.7225,-1.16843581,-0.0280439179,0.733994997,1.16843581,0.0308483097,514.985137,769.582131,0.971891121
16,4.01145108,13659.7088,-1.14498438,0.0805132888,1.14049266,1.14498438,-0.0885646177,510.718368,788.846834,0.971891121
16.5,3.97951721,14198.3098,-1.34718761,0.106145841,1.52377319,1.34718761,-0.116760426,506.658199,699.854012,0.971891121
17,3.94913636,14730.6563,-1.50084108,0.0340507791,1.87603409,1.50084108,-0.037455857,503.328473,820.297839,0.971891121
17.5,3.92016904,15256.9015,-1.56263198,-0.0615674462,2.19010434,1.56263198,0.0677241908,499.498947,803.788486,0.971891121
18,3.89247241,15777.2613,-1.79122142,-0.0926660648,2.45959038,1.79122142,0.101932671,496.717251,702.369964,0.971891121
18.5,3.8659106,16291.8088,-2.07506228,-0.0375726904,2.67900626,2.07506228,0.0413299594,493.399331,800.765474,0.971891121
19,3.84038937,16800.5742,-2.2079447,0.0460142777,2.84388529,2.2079447,-0.0506157055,490.302022,743.39589,0.971891121
19.5,3.81582485,17303.6931,-2.36577451,0.0803473398,2.95087103,2.36577451,-0.0883820738,487.62913,789.546131,0.971891121
20,3.79212146,17801.286,-2.62160461,0.0392362659,2.99778553,2.62160461,-0.0431598925,484.656131,890.042334,0.971891121
20.5,3.76920689,18293.4166,-2.76190244,-0.0333311564,2.98367377,2.76190244,0.036664272,481.598974,743.634374,0.971891121
21,3.74702921,18780.2134,-2.82254771,-0.0692190202,2.90882302,2.82254771,0.0761409222,479.154938,717.174061,0.971891121
21.5,3.72552341,19261.8424,-2.98406458,-0.0395318749,2.77475701,2.98406458,0.0434850624,476.921092,790.494028,0.971891121
22,3.70462782,19738.4166,-3.13615841,0.0230518452,2.58420496,3.13615841,-0.0253570297,474.039273,685.253398,0.971891121
22.5,3.68306133,20210.047,-3.19209185,0.0592467014,2.34104594,3.19209185,-0.0651713716,471.714981,792.265729,0.971891121
23,3.65936153,20676.8789,-3.32052762,0.0388353192,2.05022998,3.32052762,-0.0427188511,468.704027,790.304677,0.971891121
23.5,3.63623662,21139.0235,-3.53554915,-0.0147742876,1.71767725,3.53554915,0.0162517164,466.603483,772.345237,0.971891121
24,3.61364601,21596.5542,-3.69226652,-0.0503647594,1.35015757,3.69226652,0.0554012354,462.920416,755.789935,0.971891121
24.5,3.59155694,22049.5579,-3.86014713,-0.0374351002,0.95515257,3.86014713,0.0411786103,460.87628,796.408482,0.971891121
25,3.56993015,22498.1139,-4.13430298,0.00815974545,0.540703418,4.13430298,-0.00897571999,458.117792,832.487796,0.971891121
25.5,3.54873269,22942.2672,-4.39274566,0.0424973971,0.115247104,4.39274566,-0.0467471368,455.629007,753.509369,0.971891121
26,3.52794329,23382.0665,-4.59643896,0.0355550377,-0.312555309,4.59643896,-0.0391105414,453.153268,743.493063,0.971891121
26.5,3.50753766,23817.5738,-4.85934177,-0.00292380149,-0.733994997,4.85934177,0.00321618164,450.755892,753.794996,0.971891121
27,3.48749015,24248.8371,-5.14084272,-0.0355639077,-1.14049266,5.14084272,0.0391202985,448.295624,831.864395,0.971891121
27.5,3.46778452,24675.9005,-5.34400289,-0.0333666138,-1.52377319,5.34400289,0.0367032752,445.735461,756.76356,0.971891121
28,3.448406,25098.8247,-5.54872312,-0.00117295152,-1.87603409,5.54872312,0.00129024667,443.600644,799.713769,0.971891121
28.5,3.42933489,25517.6694,-5.80141663,0.029480258,-2.19010434,5.80141663,-0.0324282838,441.593644,714.098703,0.971891121
29,3.41055581,25932.4845,-6.00983,0.0309984635,-2.45959038,6.00983,-0.0340983098,439.167391,768.074464,0.971891121
29.5,3.39205791,26343.326,-6.18954477,0.00433115403,-2.67900626,6.18954477,-0.00476426944,436.982558,786.12636,0.971891121
30,3.37382649,26750.253,-6.43004431,-0.0241629864,-2.84388529,6.43004431,0.0265792851,434.979721,744.111197,0.971891121
30.5,3.35584692,27153.3131,-6.68289927,-0.0285460449,-2.95087103,6.68289927,0.0314006494,432.79325,727.739298,0.971891121
31,3.33810976,27552.5504,-6.90111787,-0.00671811915,-2.99778553,6.90111787,0.00738993107,430.737128,795.134342,0.971891121
31.5,3.32060504,27948.0119,-7.15991037,0.0195328483,-2.98367377,7.15991037,-0.0214861331,428.346592,828.552138,0.971891121
32,3.30332075,28339.7378,-7.46418289,0.0260800683,-2.90882302,7.46418289,-0.0286880751,426.467489,758.383466,0.971891121
32.5,3.28624866,28727.762,-7.7378211,0.00847320388,-2.77475701,7.7378211,-0.00932052427,424.460673,746.08561,0.971891121
33,3.26938256,29112.1207,-8.00823581,-0.0155163312,-2.58420496,8.00823581,0.0170679643,422.529695,853.698689,0.971891121
33.5,3.25271413,29492.8499,-8.32137788,-0.0236523624,-2.34104594,8.32137788,0.0260175987,420.902861,791.124439,0.971891121
34,3.23623621,29869.9808,-8.61745614,-0.00971247892,-2.05022998,8.61745614,0.0106837268,418.638592,745.041653,0.971891121
34.5,3.21994457,30243.5457,-8.87665981,0.0120457854,-1.71767725,8.87665981,-0.013250364,416.716655,844.484214,0.971891121
35,3.2038338,30613.5795,-9.15936191,0.0212998762,-1.35015757,9.15936191,-0.0234298638,414.46612,738.652727,0.971891121
35.5,3.18789762,30980.1148,-9.45061395,0.0105324607,-0.95515257,9.45061395,-0.0115857068,412.598684,798.350877,0.971891121
36,3.17213199,31343.1824,-9.70443619,-0.00905937829,-0.540703418,9.70443619,0.00996531612,410.507275,757.837264,0.971891121
36.5,3.15653309,31702.8153,-9.96424996,-0.0190479737,-0.115247104,9.96424996,0.020952771,409.185691,694.935575,0.971891121
37,3.14109556,32059.0451,-10.2571393,-0.0110132581,0.312555309,10.2571393,0.0121145839,406.678067,737.612951,0.971891121
37.5,3.12277836,32411.9002,-10.5359753,0.00650111102,0.733994997,10.5359753,-0.00715122212,404.87903,721.661447,0.971891121
38,3.103469,32761.4105,-10.8069033,0.0169132962,1.14049266,10.8069033,-0.0186046258,402.665827,741.07718,0.971891121
38.5,3.0844202,33107.6058,-11.1147216,0.0112213177,1.52377319,11.1147216,-0.0123434494,400.319427,912.304108,0.971891121
39,3.06562455,33450.5128,-11.431177,-0.00432062685,1.87603409,11.431177,0.00475268954,398.250989,775.577268,0.971891121
39.5,3.04707634,33790.1566,-11.7271965,-0.0149059423,2.19010434,11.7271965,0.0163965365,395.938793,829.07678,0.971891121
40,3.02876999,34126.5625,-11.9933779,-0.0112117489,2.45959038,11.9933779,0.0123329237,393.55383,754.021518,0.971891121
40.5,3.01070446,34459.7587,-12.0214893,0.00247286401,2.67900626,12.0214893,-0.00272015041,391.545549,773.064317,0.971891121
41,2.99287643,34789.7825,-12.0245126,0.0130310676,2.84388529,12.0245126,-0.0143341744,389.350017,698.680723,0.971891121
41.5,2.97528007,35116.6716,-12.0175846,0.0110300213,2.95087103,12.0175846,-0.0121330234,387.407017,761.919583,0.971891121
42,2.95790908,35440.4621,-12.0283483,-0.000917579155,2.99778553,12.0283483,0.00100933707,385.097999,722.897718,0.971891121
42.5,2.94075764,35761.187,-12.0267742,-0.0112898228,2.98367377,12.0267742,0.0124188051,383.317616,824.28542,0.971891121
43,2.92382087,36078.8779,-12.0040526,-0.0107135294,2.90882302,12.0040526,0.0117848823,381.442484,795.954611,0.971891121
